Date,region_name,municipality,# protesters,# apprehended,Repertoire,Repertoire2,Duration,Pol,Econ,Social,Cultur,Legal,Environ,Civic,Civic+,Suppression,Pre-Emptive Suppression,PartyOrg,PartyOrgName,OtherPartyName,Notes,Latitude,Longitude
2007-04-12 00:00:00,Орёл,Орёл,70,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,52.970756,36.064358
2007-04-13 00:00:00,Волгоградская,Волгоград,1000,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,48.7194,44.5018
2007-04-13 00:00:00,Омская,Омск,3,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,54.9924,73.3686
2007-04-14 00:00:00,Иркутская,Иркутск,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,54.0,109.0
2007-04-14 00:00:00,Башкортостан,Уфа,500,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,54.7852,56.0456
2007-04-16 00:00:00,Новосибирская,Новосибирск,3,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,55.030204,82.92043
2007-04-17 00:00:00,Калининградская,Калининград,300,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,54.7065,20.511
2007-04-19 00:00:00,Пензенская,Пенза,50,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,53.195042,45.018316
2007-04-20 00:00:00,Санкт-Петербург,Санкт-Петербург,400,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,59.938784,30.314997
2007-04-20 00:00:00,Свердловская,Екатеринбург,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,56.8519,60.6122
2007-04-21 00:00:00,Кировская,Киров,100,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,58.603595,49.668023
2007-04-22 00:00:00,Амурская,Благовещенск,100,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,50.249266,127.553278
2007-04-22 00:00:00,Свердловская,Екатеринбург,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,56.8519,60.6122
2007-04-22 00:00:00,Московская,Пушкино,200,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,56.011318,37.847164
2007-04-22 00:00:00,Сахалинская,Якутск,500,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,62.027221,129.732178
2007-04-22 00:00:00,Коми,Сыктывкар,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,61.668797,50.836497
2007-04-22 00:00:00,Оренбургская,Оренбург,30,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,51.7727,55.0988
